         1417213 function calls (1388518 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      170    0.003    0.000    0.008    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\facts.py:599(deduce_all_facts)
      268    0.003    0.000    0.010    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:437(__str__)
 1589/227    0.003    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:477(_block_check_depths_match)
     6916    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
      264    0.003    0.000    0.003    0.000 {method 'copy' of 'dict' objects}
      826    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.003    0.003    0.029    0.029 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\checkpoint.py:1(<module>)
    53/19    0.003    0.000    0.000    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
        1    0.003    0.003    0.024    0.024 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polyclasses.py:1(<module>)
        8    0.003    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\_collections_abc.py:811(__contains__)
        1    0.003    0.003    1.311    1.311 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
      274    0.003    0.000    0.066    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:568(_init_fn)
     4621    0.003    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:1134(_is_dunder)
2652/2102    0.003    0.000    0.023    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\trace_rules.py:2873(_load_obj_from_str)
     2709    0.003    0.000    0.007    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:564(normpath)
     6316    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
    10050    0.003    0.000    0.003    0.000 {method 'insert' of 'list' objects}
     2121    0.003    0.000    0.007    0.000 {built-in method builtins.max}
     3063    0.003    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1233    0.003    0.000    0.003    0.000 {built-in method nt._getfullpathname}
    10458    0.003    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:240(__next)
        1    0.003    0.003    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\rootisolation.py:1(<module>)
     1305    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:162(__enter__)
    918/4    0.003    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1211    0.003    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\ntpath.py:87(isabs)
   1852/4    0.003    0.000    0.006    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2692    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
       51    0.003    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\sympify.py:488(_sympify)
      267    0.003    0.000    0.006    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:551(drive)
      690    0.002    0.000    0.186    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\typing_extensions.py:3029(_collect_parameters)
    10651    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
      914    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        1    0.002    0.002    0.335    0.335 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\envs\RLEnvironment.py:183(reset)
     1305    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
        3    0.002    0.001    0.015    0.005 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\utils\_config_module.py:81(get_assignments_with_compile_ignored_comments)
        6    0.002    0.000    0.002    0.000 {built-in method torch._C._linalg.linalg_qr}
     2632    0.002    0.000    0.041    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\utils.py:686(unwrap_with_attr_name_if_wrapper)
      826    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      827    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
   336/62    0.002    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:178(getwidth)
  2667/10    0.002    0.000    0.005    0.001 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py:73(import_module)
        1    0.002    0.002    0.121    0.121 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\polytools.py:1(<module>)
    10966    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
      110    0.002    0.000    0.254    0.002 c:\Users\ASUS\OneDrive - Politecnico di Milano\UNIVERSITY\MATERIE\MAGISTRALE\TESI\1-CODE\simulationFull\SimEnvRL\generalScripts\OBGuidance.py:289(compute_PHIT)
        1    0.002    0.002    0.045    0.045 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\_ops\utils.py:1(<module>)
      664    0.002    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\lib\twodim_base.py:158(eye)
  2669/10    0.002    0.000    0.005    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
     1092    0.002    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4956    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     2709    0.002    0.000    0.002    0.000 {built-in method nt._path_normpath}
       87    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     3735    0.002    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:951(<genexpr>)
     3354    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
      851    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
        1    0.002    0.002    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\matrixbase.py:98(MatrixBase)
      277    0.002    0.000    0.087    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\typing.py:687(Union)
       59    0.002    0.000    0.002    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\os.py:680(__getitem__)
     1305    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:74(__new__)
       17    0.002    0.000    1.167    0.069 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_prims\__init__.py:354(<genexpr>)
        1    0.002    0.002    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\mutation_guard.py:1(<module>)
     3591    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      690    0.002    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     4442    0.002    0.000    0.003    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:291(ismodule)
        1    0.002    0.002    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\integrals\meijerint.py:1(<module>)
        1    0.002    0.002    0.046    0.046 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\matrices\matrixbase.py:1(<module>)
        1    0.002    0.002    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\polys\compatibility.py:1(<module>)
        7    0.002    0.000    0.870    0.124 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_library\custom_ops.py:129(inner)
     2827    0.002    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:447(_make)
        1    0.002    0.002    0.088    0.088 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\guards.py:1(<module>)
        1    0.002    0.002    0.021    0.021 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\printing\pretty\pretty.py:1(<module>)
      916    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
        1    0.002    0.002    0.017    0.017 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\functions\elementary\trigonometric.py:1(<module>)
      826    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.002    0.002    0.010    0.010 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\distributed\tensor\_ops\_pointwise_ops.py:1(<module>)
        1    0.002    0.002    0.065    0.065 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\eval_frame.py:1(<module>)
     1248    0.002    0.000    0.005    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:864(_set_new_attribute)
      403    0.002    0.000    0.005    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\inspect.py:2095(_signature_bound_method)
 1589/227    0.002    0.000    0.004    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:673(_block)
4313/1135    0.002    0.000    0.002    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\shape_base.py:692(_block_dispatcher)
      826    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
        1    0.002    0.002    0.007    0.007 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\integrals\laplace.py:1(<module>)
     1291    0.002    0.000    0.005    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\package\package_importer.py:726(_patched_getfile)
        1    0.002    0.002    0.047    0.047 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\symbolic_convert.py:1(<module>)
        1    0.002    0.002    0.063    0.063 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\numbers.py:1(<module>)
      263    0.002    0.000    0.038    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\core\function.py:122(arity)
        9    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
    10044    0.002    0.000    0.002    0.000 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:1389(_moveaxis_dispatcher)
       79    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.002    0.002    0.048    0.048 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_inductor\codecache.py:1(<module>)
        1    0.002    0.002    0.006    0.006 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\device_interface.py:1(<module>)
        1    0.002    0.002    0.004    0.004 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\sympy\solvers\solvers.py:1(<module>)
      914    0.002    0.000    0.002    0.000 {built-in method nt._path_splitroot}
     1212    0.002    0.000    0.002    0.000 {built-in method nt.getcwd}
        1    0.002    0.002    0.003    0.003 c:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\_dynamo\variables\constant.py:1(<module>)
